farah@DESKTOP-4LG30UB:~/deploy$ kubectl get ingress -n sasoperator
NAME                                           CLASS   HOSTS                               ADDRESS        PORTS     AGE
sas-studio-development                         nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-subject-contacts                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-templates                                  nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-terms-management                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-text-analytics                             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-theme-content                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-theme-designer-app                         nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-themes                                     nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-thumbnails                                 nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-topic-execution-provider                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-topic-management                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-transfer                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-transformations                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-treatment-definitions                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-types                                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-visual-analytics                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-visual-analytics-administration            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-visual-analytics-app                       nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-web-data-access                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-webhooks                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-workflow                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-workflow-definition                        nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-workflow-history                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-workflow-manager-app                       nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
